"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.108","0.11","0.085","0.103","0.115","0.118","10,000"
"2","$K$","28,601","28,340","25,599","27,309","29,419","34,158","10,000"
"3","$N_{min}$","   261","   243","   173","   206","   291","   468","10,000"
"4","$N_{2006}$","12,251","12,199","10,680","11,650","12,798","14,089","10,000"
"5","$N_{2008}$","14,587","14,552","12,900","13,964","15,172","16,471","10,000"
"6","$N_{2012}$","19,668","19,647","17,859","19,030","20,293","21,587","10,000"
"7","$N_{2019}$","26,264","26,157","24,211","25,441","26,866","29,680","10,000"
"8","$N_{2030}$","28,467","28,237","25,556","27,234","29,268","33,899","10,000"
"9","Max depletion","0.009","0.009","0.006","0.007","0.01","0.016","10,000"
"10","Depletion in 2006","0.43","0.43","0.345","0.404","0.457","0.512","10,000"
"11","Depletion in 2008","0.512","0.513","0.416","0.483","0.542","0.602","10,000"
"12","Depletion in 2012","0.69","0.694","0.578","0.658","0.726","0.783","10,000"
"13","Depletion in 2019","0.92","0.927","0.836","0.906","0.943","0.962","10,000"
"14","Depletion in 2030","0.996","0.997","0.983","0.995","0.998","0.999","10,000"
